Churn,AccountWeeks,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,ContractRenewal_1,DataPlan_1,interaction_1,interaction_2,interaction_3,interaction_4,interaction_5
0,128,2.7,1,265.1,110,89.0,9.87,10.0,True,True,11392.0,29161.000000000004,98.69999999999999,240.3,2.7
0,107,3.7,1,161.6,123,82.0,9.78,13.7,True,True,8774.0,19876.8,133.986,303.40000000000003,3.7
0,137,0.0,0,243.4,114,52.0,6.06,12.2,True,False,7124.0,27747.600000000002,73.93199999999999,0.0,0.0
0,84,0.0,2,299.4,71,57.0,3.1,6.6,False,False,4788.0,21257.399999999998,20.46,0.0,0.0
0,75,0.0,3,166.7,113,41.0,7.42,10.1,False,False,3075.0,18837.1,74.942,0.0,0.0
0,118,0.0,0,223.4,98,57.0,11.03,6.3,False,False,6726.0,21893.2,69.48899999999999,0.0,0.0
0,121,2.03,3,218.2,88,87.3,17.43,7.5,True,True,10563.3,19201.6,130.725,177.21899999999997,6.09
0,147,0.0,0,157.0,79,36.0,5.16,7.1,False,False,5292.0,12403.0,36.635999999999996,0.0,0.0
0,117,0.19,1,184.5,97,63.9,17.58,8.7,True,False,7476.3,17896.5,152.94599999999997,12.141,0.19
0,141,3.02,0,258.6,84,93.2,11.1,11.2,False,True,13141.2,21722.4,124.32,281.464,0.0
1,65,0.29,4,129.1,137,44.9,11.43,12.7,True,False,2918.5,17686.7,145.161,13.020999999999999,1.16
0,74,0.34,0,187.7,127,49.4,8.17,9.1,True,False,3655.6,23837.899999999998,74.347,16.796,0.0
0,168,0.0,1,128.8,96,31.0,5.25,11.2,True,False,5208.0,12364.800000000001,58.8,0.0,0.0
0,95,0.44,3,156.6,88,52.4,12.38,12.3,True,False,4978.0,13780.8,152.27400000000003,23.056,1.32
0,62,0.0,4,120.7,70,47.0,15.36,13.1,True,False,2914.0,8449.0,201.21599999999998,0.0,0.0
1,161,0.0,4,332.9,67,84.0,15.89,5.4,True,False,13524.0,22304.3,85.80600000000001,0.0,0.0
0,85,3.73,1,196.4,139,95.3,14.05,13.8,True,True,8100.5,27299.600000000002,193.89000000000001,355.469,3.73
0,93,0.0,3,190.7,114,51.0,10.91,8.1,True,False,4743.0,21739.8,88.371,0.0,0.0
0,76,2.7,1,189.7,66,78.0,10.64,10.0,True,True,5928.0,12520.199999999999,106.4,210.60000000000002,2.7
0,73,0.0,1,224.4,90,52.0,7.98,13.0,True,False,3796.0,20196.0,103.74000000000001,0.0,0.0
0,147,0.31,0,155.1,117,50.1,11.99,10.6,True,False,7364.7,18146.7,127.094,15.531,0.0
1,77,0.0,5,62.4,89,26.0,8.5,5.7,True,False,2002.0,5553.599999999999,48.45,0.0,0.0
0,130,0.0,0,183.0,112,38.0,3.65,9.5,True,False,4940.0,20496.0,34.675,0.0,0.0
0,111,0.39,2,110.4,103,34.9,6.87,7.7,True,False,3873.8999999999996,11371.2,52.899,13.611,0.78
0,132,0.0,0,81.1,86,35.0,12.26,10.3,True,False,4620.0,6974.599999999999,126.278,0.0,0.0
0,174,0.0,3,124.3,76,45.0,13.86,15.5,True,False,7830.0,9446.8,214.82999999999998,0.0,0.0
0,57,2.57,0,213.0,115,78.7,9.56,9.5,True,True,4485.900000000001,24495.0,90.82000000000001,202.259,0.0
0,54,0.0,3,134.3,73,37.0,7.78,14.7,True,False,1998.0,9803.900000000001,114.366,0.0,0.0
0,20,0.32,0,190.0,109,58.2,12.91,6.3,True,False,1164.0,20710.0,81.333,18.624000000000002,0.0
0,49,0.21,1,119.3,117,41.1,10.76,11.1,True,False,2013.9,13958.1,119.43599999999999,8.631,0.21
0,142,0.0,2,84.8,95,27.0,6.84,14.2,True,False,3834.0,8056.0,97.128,0.0,0.0
0,75,0.0,1,226.1,105,56.0,10.08,10.3,True,False,4200.0,23740.5,103.82400000000001,0.0,0.0
0,172,0.0,3,212.0,121,39.0,1.56,12.6,True,False,6708.0,25652.0,19.656,0.0,0.0
1,12,0.0,1,249.6,118,64.0,12.62,11.8,True,False,768.0,29452.8,148.916,0.0,0.0
0,57,2.24,0,176.8,94,69.4,9.75,8.3,True,True,3955.8,16619.2,80.92500000000001,155.45600000000002,0.0
0,72,3.97,3,220.0,80,95.7,10.87,14.7,True,True,6890.400000000001,17600.0,159.789,379.92900000000003,11.91
0,36,3.92,0,146.3,128,78.2,8.13,14.5,True,True,2815.2000000000003,18726.4,117.885,306.544,0.0
0,78,0.0,1,130.8,64,42.0,11.19,10.0,True,False,3276.0,8371.2,111.89999999999999,0.0,0.0
0,136,2.84,3,203.9,106,79.4,9.38,10.5,False,True,10798.400000000001,21613.4,98.49000000000001,225.496,8.52
0,149,0.0,1,140.4,94,47.0,13.59,11.1,True,False,7003.0,13197.6,150.849,0.0,0.0
0,98,0.3,3,126.3,102,39.0,8.34,9.4,True,False,3822.0,12882.6,78.396,11.7,0.8999999999999999
1,135,3.94,0,173.1,85,86.4,10.2,14.6,False,True,11664.0,14713.5,148.92,340.416,0.0
0,34,0.0,2,124.8,82,46.0,14.11,10.0,True,False,1564.0,10233.6,141.1,0.0,0.0
0,160,0.38,3,85.8,77,32.8,8.27,9.2,True,False,5248.0,6606.599999999999,76.08399999999999,12.463999999999999,1.1400000000000001
0,64,0.24,1,154.0,67,48.4,11.29,3.5,True,False,3097.6,10318.0,39.515,11.616,0.24
0,59,2.3,2,120.9,97,62.0,10.65,8.5,True,True,3658.0,11727.300000000001,90.525,142.6,4.6
0,65,0.0,3,211.3,120,50.0,8.13,13.2,True,False,3250.0,25356.0,107.316,0.0,0.0
0,142,0.35,2,187.0,133,47.5,6.73,7.4,True,False,6745.0,24871.0,49.80200000000001,16.625,0.7
1,119,0.0,5,159.1,114,47.0,11.57,8.8,True,False,5593.0,18137.399999999998,101.81600000000002,0.0,0.0
0,97,2.97,1,133.2,135,71.7,10.86,11.0,True,True,6954.900000000001,17982.0,119.46,212.949,2.97
0,52,0.32,3,191.9,108,59.2,13.49,7.8,True,False,3078.4,20725.2,105.222,18.944000000000003,0.96
0,60,0.0,1,220.6,57,56.0,10.56,6.8,True,False,3360.0,12574.199999999999,71.808,0.0,0.0
0,10,0.0,2,186.1,112,48.0,9.51,11.4,True,False,480.0,20843.2,108.414,0.0,0.0
0,96,0.21,2,160.2,117,52.1,13.38,9.3,True,False,5001.6,18743.399999999998,124.43400000000001,10.941,0.42
